date,datetime,donations_file_path,fundraisers_file_path
2020-11-05,2020-11-05T08:00:07Z,data/just_giving_data_snapshots/donations/donations2020-11-05.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-11-05.csv
2020-11-06,2020-11-06T08:00:08Z,data/just_giving_data_snapshots/donations/donations2020-11-06.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-11-06.csv
2020-11-07,2020-11-07T08:00:06Z,data/just_giving_data_snapshots/donations/donations2020-11-07.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-11-07.csv
2020-11-08,2020-11-08T08:00:06Z,data/just_giving_data_snapshots/donations/donations2020-11-08.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-11-08.csv
2020-11-09,2020-11-09T08:00:06Z,data/just_giving_data_snapshots/donations/donations2020-11-09.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-11-09.csv
2020-11-10,2020-11-10T08:00:07Z,data/just_giving_data_snapshots/donations/donations2020-11-10.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-11-10.csv
2020-11-11,2020-11-11T08:00:06Z,data/just_giving_data_snapshots/donations/donations2020-11-11.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-11-11.csv
2020-11-12,2020-11-12T08:00:07Z,data/just_giving_data_snapshots/donations/donations2020-11-12.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-11-12.csv
2020-11-13,2020-11-13T08:00:06Z,data/just_giving_data_snapshots/donations/donations2020-11-13.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-11-13.csv
2020-11-14,2020-11-14T08:00:06Z,data/just_giving_data_snapshots/donations/donations2020-11-14.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-11-14.csv
2020-11-15,2020-11-15T08:00:06Z,data/just_giving_data_snapshots/donations/donations2020-11-15.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-11-15.csv
2020-11-16,2020-11-16T08:00:16Z,data/just_giving_data_snapshots/donations/donations2020-11-16.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-11-16.csv
2020-11-23,2020-11-23T08:00:10Z,data/just_giving_data_snapshots/donations/donations2020-11-23.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-11-23.csv
2020-11-24,2020-11-24T08:00:09Z,data/just_giving_data_snapshots/donations/donations2020-11-24.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-11-24.csv
2020-11-25,2020-11-25T08:00:07Z,data/just_giving_data_snapshots/donations/donations2020-11-25.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-11-25.csv
2020-11-26,2020-11-26T08:00:09Z,data/just_giving_data_snapshots/donations/donations2020-11-26.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-11-26.csv
2020-11-27,2020-11-27T08:00:15Z,data/just_giving_data_snapshots/donations/donations2020-11-27.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-11-27.csv
2020-11-28,2020-11-28T08:00:05Z,data/just_giving_data_snapshots/donations/donations2020-11-28.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-11-28.csv
2020-11-29,2020-11-29T08:00:07Z,data/just_giving_data_snapshots/donations/donations2020-11-29.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-11-29.csv
2020-11-30,2020-11-30T08:00:10Z,data/just_giving_data_snapshots/donations/donations2020-11-30.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-11-30.csv
2020-12-01,2020-12-01T08:00:08Z,data/just_giving_data_snapshots/donations/donations2020-12-01.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-12-01.csv
2020-12-02,2020-12-02T08:00:07Z,data/just_giving_data_snapshots/donations/donations2020-12-02.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-12-02.csv
2020-12-03,2020-12-03T08:00:06Z,data/just_giving_data_snapshots/donations/donations2020-12-03.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-12-03.csv
2020-12-04,2020-12-04T08:00:07Z,data/just_giving_data_snapshots/donations/donations2020-12-04.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-12-04.csv
2020-12-05,2020-12-05T08:00:08Z,data/just_giving_data_snapshots/donations/donations2020-12-05.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-12-05.csv
2020-12-06,2020-12-06T08:00:06Z,data/just_giving_data_snapshots/donations/donations2020-12-06.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-12-06.csv
2020-12-07,2020-12-07T08:00:08Z,data/just_giving_data_snapshots/donations/donations2020-12-07.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-12-07.csv
2020-12-08,2020-12-08T08:00:10Z,data/just_giving_data_snapshots/donations/donations2020-12-08.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-12-08.csv
2020-12-09,2020-12-09T08:00:08Z,data/just_giving_data_snapshots/donations/donations2020-12-09.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-12-09.csv
2020-12-10,2020-12-10T08:00:06Z,data/just_giving_data_snapshots/donations/donations2020-12-10.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-12-10.csv
2020-12-11,2020-12-11T08:00:06Z,data/just_giving_data_snapshots/donations/donations2020-12-11.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-12-11.csv
2020-12-12,2020-12-12T08:00:08Z,data/just_giving_data_snapshots/donations/donations2020-12-12.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-12-12.csv
2020-12-13,2020-12-13T08:00:07Z,data/just_giving_data_snapshots/donations/donations2020-12-13.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-12-13.csv
2020-12-14,2020-12-14T08:00:07Z,data/just_giving_data_snapshots/donations/donations2020-12-14.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-12-14.csv
2020-12-15,2020-12-15T08:00:08Z,data/just_giving_data_snapshots/donations/donations2020-12-15.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-12-15.csv
2020-12-16,2020-12-16T08:00:08Z,data/just_giving_data_snapshots/donations/donations2020-12-16.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-12-16.csv
2020-12-17,2020-12-17T08:00:09Z,data/just_giving_data_snapshots/donations/donations2020-12-17.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-12-17.csv
2020-12-18,2020-12-18T08:00:09Z,data/just_giving_data_snapshots/donations/donations2020-12-18.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-12-18.csv
2020-12-19,2020-12-19T08:00:08Z,data/just_giving_data_snapshots/donations/donations2020-12-19.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-12-19.csv
2020-12-20,2020-12-20T08:00:09Z,data/just_giving_data_snapshots/donations/donations2020-12-20.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-12-20.csv
2020-12-21,2020-12-21T08:00:07Z,data/just_giving_data_snapshots/donations/donations2020-12-21.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-12-21.csv
